GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1948NIG	47836	18/02/2008	2008	2	18	1	Battle-Government regains territory	Military Forces of Nigeria (2007-2010) Joint Task Force		1	MEND: Movement for the Emancipation of the Niger Delta		2	12	Nigeria	Delta	Burutu		Forcados	5.35886	5.43827	1	AFP	MEND exchanges fire with Nigerian security forces while attacking oil facility.	0
475	1950NIG	47838	19/02/2008	2008	2	19	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Unidentified Armed Group (Nigeria)		3	23	Nigeria	Plateau	Jos North		Jos	9.91667	8.90000	1	Platts Oilgram News	MEND leader assassinated	1
475	1951NIG	47839	22/02/2008	2008	2	22	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Eket		Eket	4.65000	7.93333	1	Vanguard (Nigeria)	Gunmen kill unionist.	1
475	1952NIG	47840	24/02/2008	2008	2	24	3	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Vanguard (Nigeria)	Militants kill a hostage despite paying ransom.	1
475	1953NIG	47841	27/02/2008	2008	2	27	1	Violence against civilians	Police Forces of Nigeria (2007-2010)		1	Civilians (Nigeria)		7	17	Nigeria	Kogi	Lokoja		Kogi State	7.75000	6.75000	2	All Africa	Police kill 20 rioters in a seeming reprisal attack over a former riot.	20
475	1954NIG	47842	27/02/2008	2008	2	27	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Asari-To		Rivers	4.75000	6.83333	3	All Africa	Sea pirates kill a member of the Nigerian Navy in Rivers State.	1
475	1955NIG	47843	28/02/2008	2008	2	28	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Bonny		Bonny River	4.38333	7.10000	2	All Africa	A suspected pirate was shot and killed by members of the Nigerian Navy.	1
475	1959NIG	47847	02/03/2008	2008	3	2	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Bayelsa	Nembe		Nembe	4.53333	6.38333	2	BBC Monitoring Africa	Militants kill three Naval Officers while attacking a oil facility.	3
475	1958NIG	47846	02/03/2008	2008	3	2	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.75000	6.08333	2	Reuters News	Soldiers and Militants engage in a gun battle near an oil pipeline.	0
475	1957NIG	47845	02/03/2008	2008	3	2	1	Violence against civilians	Muslim Militia (Nigeria)		4	Civilians (Nigeria)		7	47	Nigeria	Bauchi	Bauchi		Bauchi	10.31583	9.84417	2	Trend News Agency	Religious violence sparks and group is accused of desecrating the Koran.	0
475	1956NIG	47844	02/03/2008	2008	3	2	1	Riots/Protests	Rioters (Nigeria)	Muslim Group (Nigeria)	5			0	50	Nigeria	Bauchi	Bauchi		Bauchi	10.31583	9.84417	2	Trend News Agency	Religious violence sparks and group is accused of desecrating the Koran.	0
475	1960NIG	47848	05/03/2008	2008	3	5	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.75000	6.08333	2	Reuters News	MEND disrupts oil supply in a flow station attack in Bayelsa State.	0
475	1961NIG	47849	06/03/2008	2008	3	6	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Vanguard (Nigeria)	Armed group kills three	3
475	1962NIG	47850	07/03/2008	2008	3	7	2	Battle-No change of territory	Ezza Ethnic Militia (Nigeria)		4	Ezillo Ethnic Militia (Nigeria)		4	44	Nigeria	Ebonyi	Ebonyi		Abakaliki	6.33333	8.10000	1	All Africa	Ezza people and Ezilo aborigines clash in Abakiliki over economic reasons.	0
475	1965NIG	47853	09/03/2008	2008	3	9	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Delta	EthiopeE		Isiokolo	5.63333	6.03333	1	Vanguard (Nigeria)	Robbers kill a cleric (Rev. Fr. John Mark Ikpiki) and three policemen in Delta State.	1
475	1963NIG	47851	09/03/2008	2008	3	9	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Nembe		Nembe	4.53333	6.38333	1	All Africa	The JTF and unidentified militiants become involved in a firefight that lasts four hours. No reported deaths.	0
475	1964NIG	47852	09/03/2008	2008	3	9	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	EthiopeE		Isiokolo	5.63333	6.03333	1	Vanguard (Nigeria)	Robbers kill a cleric (Rev. Fr. John Mark Ikpiki) and three policemen in Delta State.	3
